SeqID,CV
13512_28,3.0
13513_174,3.0
13514_121,6.5
13515_8,2.5
13516_46,3.0
13517_3,3.0
13518_5,3.5
13519_112,3.0
13522_20,4.5
13524_25,5.0
13525_17,6.5
13526_5,4.5
13529_39,2.5
13530_5,3.0
13532_25,2.5
13534_20,4.0
13535_2,5.5
13536_56,3.0
13539_131,7.5
13540_1,9.5
13541_1,3.5
13543_7,5.0
13544_9,9.0
13545_97,5.0
13547_5,5.0
13548_53,12.0
13549_15,4.0
13552_7,5.0
13553_4,6.0
13554_78,2.5
13556_28,3.5
13557_3,4.5
13561_5,4.0
13563_259,2.5
13565_2,3.0
13566_2,5.0
13567_1,4.5
13568_30,7.5
13570_43,3.0
13572_43,5.0
13573_5,6.0
13574_50,5.0
13575_40,8.0
13576_15,2.5
13577_25,4.5
13578_98,10.0
13580_2,3.0
13583_19,3.0
13587_10,6.0
13588_11,5.5
13589_10,3.5
13590_1,3.0
13591_31,3.5
13594_158,6.0
13595_20,6.5
13596_3,6.0
13597_20,6.0
13599_15,7.0
13602_6,3.0
13603_7,5.0
13604_27,5.0
13605_16,7.5
13609_11,3.5
13610_9,4.0
13612_7,4.0
13613_23,13.0
13614_6,3.0
13615_60,8.0
13618_15,4.5
13620_10,3.0
13621_31,8.0
13622_16,6.0
13623_4,4.5
13624_17,4.0
13625_19,4.0
13628_58,3.0
13629_25,4.5
13631_1,2.5
13632_10,4.0
13634_209,4.5
13636_20,8.5
13639_101,4.5
13640_5,3.0
13642_90,4.0
13644_30,5.0
13645_14,8.5
13650_11,8.5
13651_54,3.5
13652_2,3.5
13653_335,8.5
13654_1,4.5
13655_34,3.0
13657_2,5.0
13658_31,8.5
13659_36,6.5
13660_76,6.0
13661_193,2.5
13663_2,11.0
13665_35,5.5
13666_222,3.5
13668_44,4.0
13669_6,11.0
13670_81,2.5
13671_40,5.0
13672_3,6.5
13673_21,19.0
13676_46,7.5
13678_169,4.5
13680_3,3.5
13681_173,5.0
13682_47,5.0
13683_18,29.0
13686_2,5.5
13687_5,4.0
13688_2,3.5
13689_2,4.5
13690_26,5.5
13691_10,7.0
13692_154,3.0
13693_5,3.5
13694_24,4.0
13697_51,8.0
13698_28,3.0
13699_6,4.0
13700_10,7.0
13701_2,5.5
13704_5,4.0
13706_12,8.0
13707_27,5.5
13708_56,3.5
13710_6,6.5
13711_10,3.0
13712_104,7.0
13713_164,7.5
13717_15,5.0
13719_19,4.5
13720_95,3.5
13722_105,5.5
13723_6,4.0
13724_27,5.0
13725_3,3.5
13726_4,10.0
13727_44,6.5
13728_19,4.0
13729_26,8.5
13730_18,5.5
13731_14,4.5
13732_79,2.0
13733_5,4.5
13734_22,4.0
13735_1,3.0
13738_8,6.0
13739_3,10.5
13740_51,3.0
13741_36,5.5
13742_66,8.0
13743_56,3.5
13744_37,4.5
13745_10,2.5
13747_9,3.0
13748_4,4.5
13924_13,5.5
13926_1,6.5
13929_27,3.5
13930_3,4.5
13931_22,9.0
13932_45,10.5
13933_276,8.5
13934_3,4.0
13936_24,3.5
13937_75,3.0
13939_14,6.5
13940_19,4.5
13941_82,4.5
13942_140,4.0
13943_38,4.0
13944_3,4.5
13946_8,4.5
13947_371,3.5
13948_50,6.0
13950_9,7.5
13954_9,6.0
13955_33,4.0
13958_5,4.0
13959_7,9.5
13960_15,7.0
13961_18,4.5
13963_7,6.5
13966_30,9.0
13967_14,4.0
13969_24,8.0
13972_4,3.0
13973_62,4.0
13975_56,9.0
13976_9,3.0
13977_28,2.5
13978_122,4.5
13979_3,3.5
13982_33,7.5
13983_27,8.0
13984_23,3.0
13985_12,5.0
13986_6,6.0
13988_67,4.0
13990_1,4.0
13991_47,2.5
13992_12,3.5
13993_20,5.0
13994_1,10.5
13996_16,3.5
13998_26,6.0
14002_18,3.0
14005_2,2.5
14006_36,5.0
14007_22,3.0
14008_22,4.0
14009_65,2.5
14011_17,3.0
14012_17,2.5
14013_11,4.5
14019_73,3.0
14021_81,5.0
14022_17,3.5
14023_84,4.5
14024_196,7.5
14025_18,2.5
14026_24,4.0
14028_22,7.5
14029_42,4.0
14030_21,13.0
14031_18,4.0
14032_2,4.5
14034_22,3.0
14035_13,3.5
14036_116,2.5
14037_18,4.5
14038_130,6.0
14039_33,3.5
14041_13,4.0
14042_11,4.5
14043_12,10.0
14045_12,5.5
14047_78,3.0
14048_7,5.5
14049_17,5.0
14050_61,3.5
14051_54,3.5
14052_26,4.5
14054_17,5.0
14056_4,3.5
14057_68,4.5
14060_67,24.0
14061_48,3.5
14063_17,2.5
14064_21,3.0
14065_11,4.5
14066_49,4.5
14067_6,6.0
14068_29,3.5
